name,type,model,serial
FA-m20,Main Chassis,FA-m20,d926c4f4-ab4c-424e-94b8-d272ac0389dd
ais-m7krds-07,Blade Enclosure,PowerEdge MX7000,6YQ9K93
del-m7krds-04.apexglobal.com,Blade Enclosure,PowerEdge MX7000,FDVWB33
ais-m7krds-04,Blade Enclosure,PowerEdge MX7000,4LJ6G73
DataDomain DD9300,Main System Chassis,DD9300,FCNCS182000236
DataDomain DS60,Expansion Chassis,DS60,APM00183232772
DataDomain DS60,Expansion Chassis,DS60,APM00183232771
DataDomain DS60,Expansion Chassis,DS60,APM00183232800
DataDomain DS60,Expansion Chassis,DS60,CF2VE194900403
del-m7krds-03.apexglobal.com,Blade Enclosure,PowerEdge MX7000,6FVWB33
del-m7krds-06.apexglobal.com,Blade Enclosure,PowerEdge MX7000,D5D0L93
del-m7krds-05.apexglobal.com,Blade Enclosure,PowerEdge MX7000,JCVWB33
DataDomain DD990,Main System Chassis,DD990,4FA1733064
DataDomain ES30,Expansion Chassis,ES30,APM00122304044
DataDomain ES30,Expansion Chassis,ES30,APM00122303635
DataDomain ES30,Expansion Chassis,ES30,APM00153314184
DataDomain ES30,Expansion Chassis,ES30,APM00122304049
DataDomain ES30,Expansion Chassis,ES30,APM00122304046
DataDomain ES30,Expansion Chassis,ES30,APM00122304050
DataDomain ES30,Expansion Chassis,ES30,APM00153314183
DataDomain ES30,Expansion Chassis,ES30,APM00122304051
DataDomain ES30,Expansion Chassis,ES30,APM00133435270
DataDomain ES30,Expansion Chassis,ES30,APM00122303634
DataDomain ES30,Expansion Chassis,ES30,APM00122304048
DataDomain ES30,Expansion Chassis,ES30,APM00133435271
DataDomain ES30,Expansion Chassis,ES30,APM00160234078
DataDomain ES30,Expansion Chassis,ES30,APM00142418380
DataDomain ES30,Expansion Chassis,ES30,APM00122304047
DataDomain ES30,Expansion Chassis,ES30,APM00165098240
DataDomain ES30,Expansion Chassis,ES30,APM00122304045
DataDomain ES30,Expansion Chassis,ES30,APM00172052004
DataDomain ES30,Expansion Chassis,ES30,APM00142420383
DataDomain ES30,Expansion Chassis,ES30,APM00142105550
DataDomain ES30,Expansion Chassis,ES30,APM00142426771
del-m7krds-02.apexglobal.com,Blade Enclosure,PowerEdge MX7000,BBW7J23
ais-m7krds-06,Blade Enclosure,PowerEdge MX7000,6YQ8K93
ldn-cmcdmz-01,Blade Enclosure,PowerEdge M1000e,G6VN5X1
