name,version,vendor,install_date
instana-agent-static,20241111,"Instana, Inc.",
python39-markupsafe,2.1.0,"Red Hat, Inc.",
ansible-builder,3.0.1,"Red Hat, Inc.",
gnutls-utils,3.6.16,"Red Hat, Inc.",
NetworkManager-wwan,1.40.16,"Red Hat, Inc.",
python39-distro,1.6.0,"Red Hat, Inc.",
python39-resolvelib,0.5.4,"Red Hat, Inc.",
webkit2gtk3,2.40.5,"Red Hat, Inc.",
edk2-ovmf,20220126gitbb1bba3d77,"Red Hat, Inc.",
qemu-kvm-docs,6.2.0,"Red Hat, Inc.",
qemu-kvm-block-ssh,6.2.0,"Red Hat, Inc.",
gstreamer1-plugins-bad-free,1.16.1,"Red Hat, Inc.",
avahi-glib,0.7,"Red Hat, Inc.",
qemu-kvm-core,6.2.0,"Red Hat, Inc.",
gnutls-dane,3.6.16,"Red Hat, Inc.",
qemu-kvm-common,6.2.0,"Red Hat, Inc.",
NetworkManager-adsl,1.40.16,"Red Hat, Inc.",
ansible-runner,2.3.6,"Red Hat, Inc.",
automation-controller-ui,4.5.2,"Red Hat, Inc.",
ansible-automation-platform-common,2.4,"Red Hat, Inc.",
mutter,3.32.2,"Red Hat, Inc.",
ansible-core,2.15.9,"Red Hat, Inc.",
tigervnc-license,1.13.1,"Red Hat, Inc.",
instana-agent-dynamic,20250127,"Instana, Inc.",
python39-jinja2,3.1.3,"Red Hat, Inc.",
ansible-navigator,3.4.1,"Red Hat, Inc.",
qemu-kvm-block-rbd,6.2.0,"Red Hat, Inc.",
python39-pyrsistent,0.18.1,"Red Hat, Inc.",
postgresql-contrib,13.14,"Red Hat, Inc.",
nginx-filesystem,1.20.1,"Red Hat, Inc.",
ansible-automation-platform-selinux,0.2,"Red Hat, Inc.",
python39-docutils,0.16,"Red Hat, Inc.",
qemu-kvm-block-iscsi,6.2.0,"Red Hat, Inc.",
oniguruma,6.9.7.1,"Red Hat, Inc.",
automation-controller,4.5.2,"Red Hat, Inc.",
uuid,1.6.2,"Red Hat, Inc.",
python39-pbr,5.8.1,"Red Hat, Inc.",
receptorctl,1.4.4,"Red Hat, Inc.",
qemu-kvm-hw-usbredir,6.2.0,"Red Hat, Inc.",
python39-cffi,1.15.0,"Red Hat, Inc.",
python39-zipp,3.4.0,"Red Hat, Inc.",
python39-attrs,21.4.0,"Red Hat, Inc.",
qemu-kvm,6.2.0,"Red Hat, Inc.",
qemu-guest-agent,6.2.0,"Red Hat, Inc.",
webkit2gtk3-jsc,2.40.5,"Red Hat, Inc.",
sshpass,1.09,"Red Hat, Inc.",
tigervnc-server-minimal,1.13.1,"Red Hat, Inc.",
qemu-kvm-block-curl,6.2.0,"Red Hat, Inc.",
python39-pexpect,4.8.0,"Red Hat, Inc.",
python39-click,8.1.3,"Red Hat, Inc.",
qemu-img,6.2.0,"Red Hat, Inc.",
automation-controller-server,4.5.2,"Red Hat, Inc.",
python39-ansible-runner,2.3.6,"Red Hat, Inc.",
python39-ptyprocess,0.6.0,"Red Hat, Inc.",
python39-packaging,21.3,"Red Hat, Inc.",
python39-daemon,2.3.0,"Red Hat, Inc.",
python39-pyparsing,3.0.9,"Red Hat, Inc.",
qemu-kvm-block-gluster,6.2.0,"Red Hat, Inc.",
python39-jmespath,0.10.0,"Red Hat, Inc.",
qemu-kvm-ui-spice,6.2.0,"Red Hat, Inc.",
NetworkManager-bluetooth,1.40.16,"Red Hat, Inc.",
open-vm-tools-desktop,12.2.5,"Red Hat, Inc.",
firefox,115.9.1,"Red Hat, Inc.",
avahi,0.7,"Red Hat, Inc.",
python39-cryptography,38.0.4,"Red Hat, Inc.",
python39-importlib-metadata,6.0.1,"Red Hat, Inc.",
supervisor,4.2.4,"Red Hat, Inc.",
redis,6.2.7,"Red Hat, Inc.",
automation-controller-venv-tower,4.5.2,"Red Hat, Inc.",
postgresql-server,13.14,"Red Hat, Inc.",
python39-onigurumacffi,1.1.0,"Red Hat, Inc.",
iwl4965-firmware,228.61.2.24,"Red Hat, Inc.",
python39-dateutil,2.8.2,"Red Hat, Inc.",
python39-parsley,1.3,"Red Hat, Inc.",
receptor,1.4.4,"Red Hat, Inc.",
python39-pycparser,2.21,"Red Hat, Inc.",
python39-bindep,2.10.2,"Red Hat, Inc.",
NetworkManager-wifi,1.40.16,"Red Hat, Inc.",
openssh-askpass,8.0p1,"Red Hat, Inc.",
nginx,1.20.1,"Red Hat, Inc.",
python39-requirements-parser,0.2.0,"Red Hat, Inc.",
python39-six,1.16.0,"Red Hat, Inc.",
