name,os,power_state,virtualization_type
VMware VM 8.0 identified as sdxdrldynatrace on 172.16.133.18,,,
VMware VM 8.0 identified as ZVM_DC on 172.16.133.18,,,
VMware VM 8.0 identified as Sdxdrloracle on 172.16.133.18,,,
VMware VM 8.0 identified as SDXDRW_somayya on 172.16.133.18,,,
VMware VM 8.0 identified as sdxdrlbitbucket on 172.16.133.18,,,
VMware VM 8.0 identified as sdxdrlappsplunk on 172.16.133.18,,,
VMware VM 8.0 identified as SDXDRLKUBEGRAFANA on 172.16.133.19,,,
VMware VM 8.0 identified as sdxcellcom on 172.16.133.19,,,
VMware VM 8.0 identified as sdxdrlPython-Chatops on 172.16.4.61,,,
VMware VM 8.0 identified as sdxdrlstackable-master1 on t10-rac7-pos24,,,
VMware VM 8.0 identified as sdxdrlelkstack on t10-rac7-pos24,,,
VMware VM 8.0 identified as sdxdrwgrafana on t10-rc7-pos23,,,
VMware VM 8.0 identified as Rheltest_Pranesh on t10-rc7-pos23,,,
VMware VM 8.0 identified as Sdxdrlstorageresizetest on t10-rc7-pos23,,,
VMware VM 8.0 identified as sdxdrwntp on t10-rc7-pos23,,,
VMware VM 8.0 identified as Z-VRA-172.16.6.140 on sdx-rac1-p2021,,,
VMware VM 8.0 identified as Z-VRAH-172.16.6.140-403078 on sdx-rac1-p2021,,,
VMware VM 7.0 identified as sdxdrwappsecpod on sdx-t10-dell-rc5-p0809,,,
VMware VM 7.0 identified as sdxdrwnwjs on sdx-t10-dell-rc5-p0809,,,
VMware VM 7.0 identified as sdxdrwappmanageengine on sdx-t10-dell-rc5-p0809,,,
VMware VM 7.0 identified as SDXETPEBMCO on sdx-t10-dell-rc5-p0809,,,
VMware VM 7.0 identified as SDXETPEAPPS on sdx-t10-dell-rc5-p0809,,,
VMware VM 7.0 identified as ocpsno on sdx-t10-dell-rc5-p0809,,,
VMware VM 7.0 identified as rhelquay on sdx-t10-dell-rc5-p0809,,,
VMware VM 7.0 identified as sdxdrwappflexera on sdx-t10-dell-rc5-p0809,,,
VMware VM 7.0 identified as sdxdrwelkstk on sdx-t10-dell-rc5-p0809,,,
VMware VM 7.0 identified as SDXDRW-mssqlserver on sdx-t10-dell-rc5-p0809,,,
VMware VM 7.0 identified as sdxdropsramp on sdx-t10-dell-rc5-p0809,,,
VMware VM 7.0 identified as sdxdrlsplunkhf on sdx-t10-dell-rc5-p0809,,,
VMware VM 7.0 identified as SDXDRW_jumpserver_Dandapani on sdx-t10-dell-rc5-p0809,,,
AHV VM identified as EraAgent_Era_Agent_evhf_DO_NOT_DELETE on NTNX-16SM6C360121-D,,,
AHV VM identified as Comp-test1 on NTNX-16SM6C360121-D,,,
AHV VM identified as Ansible_tower on NTNX-16SM6C360121-A,,,
AHV VM identified as NTNX-16SM6C360121-A-CVM on NTNX-16SM6C360121-A,,,
AHV VM identified as Sudin_rhel8 on NTNX-16SM6C360121-D,,,
AHV VM identified as Era on NTNX-16SM6C360121-A,,,
AHV VM identified as NTNX-16SM6C360121-D-CVM on NTNX-16SM6C360121-D,,,
AHV VM identified as NTNX-16SM6C360121-C-CVM on NTNX-16SM6C360121-C,,,
AHV VM identified as NTNX-16SM6C360121-B-CVM on NTNX-16SM6C360121-B,,,
AHV VM identified as NutanixMove4.6 on NTNX-16SM6C360121-C,,,
AHV VM identified as PC-5.6-prism_central on NTNX-16SM6C360121-B,,,
VMware VM 7.0 identified as sdxdrwjsdeb on sdx-t10-dell-rc5-p0809,,,
VMware VM 8.0 identified as cohesity_single_node on t10-rc7-pos23,,,
AWS EC2 Instance web-fe-03 in US East (Ohio),Amazon Linux AMI 2,,
AWS EC2 Instance web-fe-01 in US East (Ohio),Amazon Linux AMI 2,,
AWS EC2 Instance web-fe-02 in US East (Ohio),Amazon Linux AMI 2,,
AWS EC2 Instance bl-app-01 in US East (Ohio),Amazon Linux AMI 2,,
AWS EC2 Instance bl-app-2 in US East (Ohio),Amazon Linux AMI 2,,
VMware VM 6.5 identified as ldn-socvm-01 on ldn-esxdevqa-05,,,
VMware VM 6.5 identified as asm-vuln-web-server-01 on ldn-esxdevqa-05,,,
VMware VM 6.5 identified as ais-sectools-01 on ldn-esxdevqa-05,,,
VMware VM 6.5 identified as ais-isecpop-01 on ldn-esxdevqa-05,,,
VMware VM 6.5 identified as mgoodman-w10-vm on ldn-esxdevqa-05,,,
VMware VM 6.5 identified as WAS on ldn-esxdevqa-05,,,
VMware VM 6.5 identified as ldn-gstest-01 on ldn-esxdevqa-05,,,
VMware VM 6.5 identified as ckren-w10-vm on ais-esxdevqa-07,,,
VMware VM 6.5 identified as ais-isecsoar-01 on ais-esxdevqa-07,,,
VMware VM 6.5 identified as ais-tabdr-02.asl.apexglobal.com on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ais-b2bqa-02 on ais-esxdevqa-08,,,
VMware VM 6.5 identified as ais-sqldev-22.asl.apexglobal.com on ais-esxdevqa-08,,,
